Product URL,Product Name,Product Price,Ratings,Number_of_Reviews
https://www.amazon.in//sspa/click,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400",4.3,65
https://www.amazon.in//sspa/click,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P2","₹3,990",N/A,N/A
https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_35,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹448,4.3,"13,088"
https://www.amazon.in//ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_36,ADISA 31 Ltrs Casual Backpack School College Bag Pack,₹399,3.8,127
https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_37,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0,"6,017"
https://www.amazon.in//Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_38,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,₹699,3.8,575
https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_39,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,₹899,3.9,971
https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_40,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹799,3.8,"2,975"
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_41,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹398,4.1,"9,471"
https://www.amazon.in//Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_42,Nelle Harper Women's Handbag,₹809,3.7,"1,905"
